,Time,State,Probability
0,0.0,1,0.25
1,0.0,2,0.25
2,0.0,3,0.25
3,0.0,4,0.25
4,0.00032629746076653443,1,0.25
5,0.00032629746076653443,2,0.25
6,0.00032629746076653443,3,0.27
7,0.00032629746076653443,4,0.23
8,0.0004634301557218455,1,0.23
9,0.0004634301557218455,2,0.26
10,0.0004634301557218455,3,0.27
11,0.0004634301557218455,4,0.24
12,0.0010015461481757328,1,0.21
13,0.0010015461481757328,2,0.27
14,0.0010015461481757328,3,0.27
15,0.0010015461481757328,4,0.25
16,0.0011548058137192051,1,0.2
17,0.0011548058137192051,2,0.27
18,0.0011548058137192051,3,0.28
19,0.0011548058137192051,4,0.25
20,0.0014124072424806285,1,0.19
21,0.0014124072424806285,2,0.29
22,0.0014124072424806285,3,0.27
23,0.0014124072424806285,4,0.25
24,0.0015493178277675834,1,0.18
25,0.0015493178277675834,2,0.28
26,0.0015493178277675834,3,0.28
27,0.0015493178277675834,4,0.26
28,0.0016301705584751012,1,0.18
29,0.0016301705584751012,2,0.28
30,0.0016301705584751012,3,0.3
31,0.0016301705584751012,4,0.24
32,0.0020897022692514854,1,0.18
33,0.0020897022692514854,2,0.28
34,0.0020897022692514854,3,0.3
35,0.0020897022692514854,4,0.24
36,0.00218322969409197,1,0.18
37,0.00218322969409197,2,0.29
38,0.00218322969409197,3,0.3
39,0.00218322969409197,4,0.23
40,0.002312443679354969,1,0.17
41,0.002312443679354969,2,0.29
42,0.002312443679354969,3,0.31
43,0.002312443679354969,4,0.23
44,0.0025259319388326604,1,0.17
45,0.0025259319388326604,2,0.3
46,0.0025259319388326604,3,0.31
47,0.0025259319388326604,4,0.22
48,0.0028661968397309945,1,0.17
49,0.0028661968397309945,2,0.3
50,0.0028661968397309945,3,0.33
51,0.0028661968397309945,4,0.2
52,0.003266895778035495,1,0.16
53,0.003266895778035495,2,0.3
54,0.003266895778035495,3,0.34
55,0.003266895778035495,4,0.2
56,0.003350371217735713,1,0.16
57,0.003350371217735713,2,0.3
58,0.003350371217735713,3,0.34
59,0.003350371217735713,4,0.2
60,0.0035668945337466703,1,0.17
61,0.0035668945337466703,2,0.3
62,0.0035668945337466703,3,0.35
63,0.0035668945337466703,4,0.18
64,0.003670461220377036,1,0.15
65,0.003670461220377036,2,0.3
66,0.003670461220377036,3,0.35
67,0.003670461220377036,4,0.2
68,0.0038520542127301895,1,0.14
69,0.0038520542127301895,2,0.3
70,0.0038520542127301895,3,0.36
71,0.0038520542127301895,4,0.2
72,0.004266487343420646,1,0.12
73,0.004266487343420646,2,0.3
74,0.004266487343420646,3,0.36
75,0.004266487343420646,4,0.22
76,0.004438807131893727,1,0.13
77,0.004438807131893727,2,0.29
78,0.004438807131893727,3,0.37
79,0.004438807131893727,4,0.21
80,0.004779038046204363,1,0.12
81,0.004779038046204363,2,0.29
82,0.004779038046204363,3,0.36
83,0.004779038046204363,4,0.23
84,0.005189412488860996,1,0.13
85,0.005189412488860996,2,0.29
86,0.005189412488860996,3,0.37
87,0.005189412488860996,4,0.21
88,0.005278056640325959,1,0.14
89,0.005278056640325959,2,0.29
90,0.005278056640325959,3,0.36
91,0.005278056640325959,4,0.21
92,0.005515073691395332,1,0.15
93,0.005515073691395332,2,0.29
94,0.005515073691395332,3,0.37
95,0.005515073691395332,4,0.19
96,0.005921422998819302,1,0.15
97,0.005921422998819302,2,0.29
98,0.005921422998819302,3,0.37
99,0.005921422998819302,4,0.19
100,0.006297854680221381,1,0.15
101,0.006297854680221381,2,0.29
102,0.006297854680221381,3,0.37
103,0.006297854680221381,4,0.19
104,0.006528445054237488,1,0.15
105,0.006528445054237488,2,0.29
106,0.006528445054237488,3,0.37
107,0.006528445054237488,4,0.19
108,0.006998035981464471,1,0.16
109,0.006998035981464471,2,0.29
110,0.006998035981464471,3,0.38
111,0.006998035981464471,4,0.17
112,0.0072535428772474,1,0.17
113,0.0072535428772474,2,0.29
114,0.0072535428772474,3,0.39
115,0.0072535428772474,4,0.15
116,0.00739364140280056,1,0.16
117,0.00739364140280056,2,0.29
118,0.00739364140280056,3,0.4
119,0.00739364140280056,4,0.15
120,0.007487776651326399,1,0.16
121,0.007487776651326399,2,0.29
122,0.007487776651326399,3,0.4
123,0.007487776651326399,4,0.15
124,0.007655153208273312,1,0.14
125,0.007655153208273312,2,0.29
126,0.007655153208273312,3,0.4
127,0.007655153208273312,4,0.17
128,0.008055783240803473,1,0.14
129,0.008055783240803473,2,0.28
130,0.008055783240803473,3,0.42
131,0.008055783240803473,4,0.16
132,0.008314381005213192,1,0.14
133,0.008314381005213192,2,0.28
134,0.008314381005213192,3,0.44
135,0.008314381005213192,4,0.14
136,0.00839582266467051,1,0.14
137,0.00839582266467051,2,0.29
138,0.00839582266467051,3,0.44
139,0.00839582266467051,4,0.13
140,0.00853877828522936,1,0.13
141,0.00853877828522936,2,0.29
142,0.00853877828522936,3,0.45
143,0.00853877828522936,4,0.13
144,0.008717090074070517,1,0.12
145,0.008717090074070517,2,0.28
146,0.008717090074070517,3,0.46
147,0.008717090074070517,4,0.14
148,0.00893076499880074,1,0.12
149,0.00893076499880074,2,0.27
150,0.00893076499880074,3,0.46
151,0.00893076499880074,4,0.15
152,0.009092356437407897,1,0.11
153,0.009092356437407897,2,0.28
154,0.009092356437407897,3,0.45
155,0.009092356437407897,4,0.16
156,0.009169612098091091,1,0.1
157,0.009169612098091091,2,0.28
158,0.009169612098091091,3,0.46
159,0.009169612098091091,4,0.16
160,0.009551075017848923,1,0.11
161,0.009551075017848923,2,0.28
162,0.009551075017848923,3,0.47
163,0.009551075017848923,4,0.14
164,0.009721790158406676,1,0.11
165,0.009721790158406676,2,0.29
166,0.009721790158406676,3,0.47
167,0.009721790158406676,4,0.13
168,0.009897457094496659,1,0.1
169,0.009897457094496659,2,0.31
170,0.009897457094496659,3,0.46
171,0.009897457094496659,4,0.13
172,0.010447058182985537,1,0.11
173,0.010447058182985537,2,0.31
174,0.010447058182985537,3,0.45
175,0.010447058182985537,4,0.13
176,0.011003478134032286,1,0.11
177,0.011003478134032286,2,0.31
178,0.011003478134032286,3,0.43
179,0.011003478134032286,4,0.15
180,0.01112437098470689,1,0.11
181,0.01112437098470689,2,0.31
182,0.01112437098470689,3,0.43
183,0.01112437098470689,4,0.15
184,0.011510516330840364,1,0.12
185,0.011510516330840364,2,0.31
186,0.011510516330840364,3,0.42
187,0.011510516330840364,4,0.15
188,0.011701446502879735,1,0.11
189,0.011701446502879735,2,0.3
190,0.011701446502879735,3,0.43
191,0.011701446502879735,4,0.16
192,0.011939593253011303,1,0.1
193,0.011939593253011303,2,0.3
194,0.011939593253011303,3,0.42
195,0.011939593253011303,4,0.18
